座位,sit_x,sit_y
A1,8.0,5.0
A2,10.0,5.0
A3,12.0,5.0
A4,7.0,4.0
A5,9.0,4.0
A6,11.0,4.0
A7,13.0,4.0
A8,8.0,3.0
A9,10.0,3.0
A10,12.0,3.0
A11,14.0,3.0
A12,7.0,2.0
A13,9.0,2.0
A14,11.0,2.0
A15,13.0,2.0
A16,10.0,1.0
A17,12.0,1.0
A18,14.0,1.0
C14,1.0,13.0
C15,1.0,11.0
C16,1.0,9.0
C11,2.0,12.0
C12,2.0,10.0
C13,2.0,8.0
C7,3.0,13.0
C8,3.0,11.0
C9,3.0,9.0
C10,3.0,7.0
C4,4.0,12.0
C5,4.0,10.0
C6,4.0,8.0
C1,5.0,13.0
C2,5.0,11.0
C3,5.0,9.0
B1,3.5,4.5
B2,4.5,3.5
B3,2.0,4.0
B4,3.0,3.0
B5,4.0,2.0
B6,0.5,3.5
B7,1.5,2.5
B8,2.5,1.5
